"today";"Questionnaire for use at compost facility";"Skip origin?";"Time of truck arrival estimate?";"How full is the skip on arrival?";"day skip delivered at compost facility";"predominant type of inorganic waste in the skip?";"day skip sorted and trash volume measurements recorded?";"Todays date and time";"Volume of inorganic waste in the skip";"Trash volume category?";"Is market stakeholder (market master or cleaner) present to verify quality measurements?";"amount of money paid to market stakeholder?";"Any other observation?";"The end";"__version__";"_version_";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2021-05-27";"";"BCA";"15:42:00.000+02:00";"7";"Thursday";"Surgarcane remains";"Monday";"2021-05-24T01:43:00.000+02:00";"150";"0-100";"no";"0";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"180485576";"224eaf50-1b60-458c-b923-f3e4d4eee738";"2021-05-27T08:54:01";"";"";"submitted_via_web";"";"";"1"
"2021-06-01";"";"Bangwe";"15:55:00.000+02:00";"7";"Tuesday";"Surgarcane remains";"Tuesday";"2021-06-01T16:55:00.000+02:00";"10";"0-100";"no";"15500";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"181815205";"84447b90-820e-41a6-926b-192b5de5f1b9";"2021-06-01T14:55:53";"";"";"submitted_via_web";"";"";"2"
"2021-05-10";"";"Chigumula";"16:50:00.000+02:00";"7";"Friday";"Sugarcane remain ";"Monday";"2021-05-10T16:53:00.000+02:00";"90";"0-100";"no";"0";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"177146505";"27570df5-9dfe-47b5-a307-74f3ce5aaf8b";"2021-05-10T14:58:48";"";"";"submitted_via_web";"";"";"3"
"2021-06-01";"";"Chigumula";"08:53:00.000+02:00";"7";"Tuesday";"Surgarcane remains";"Tuesday";"2021-06-01T16:54:00.000+02:00";"60";"0-100";"no";"10000";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"181815204";"c8724a56-acb2-4cb9-b399-90b6566ef63a";"2021-06-01T14:55:53";"";"";"submitted_via_web";"";"";"4"
"2021-05-10";"";"Chigumula";"15:40:00.000+02:00";"7";"Friday";"Surgarcane remains";"Monday";"2021-05-10T17:01:00.000+02:00";"60";"0-100";"no";"0";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"177635614";"9e9f73d5-68e8-4d0b-8405-28c3b90d0d84";"2021-05-13T11:01:40";"";"";"submitted_via_web";"";"";"5"
"2021-05-10";"";"BCA";"11:10:00.000+02:00";"7";"Tuesday";"Maize leaves";"Friday";"2021-05-10T17:16:00.000+02:00";"200";"101-250";"no";"0";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"177635616";"7f22d338-a4f1-44a1-8467-f55951785a9f";"2021-05-13T11:01:41";"";"";"submitted_via_web";"";"";"6"
"2021-06-01";"";"Chigumula";"12:50:00.000+02:00";"7";"Thursday";"Surgarcane remains";"Tuesday";"2021-06-01T16:51:00.000+02:00";"100";"0-100";"no";"10000";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"181815202";"b980fd02-fcab-4263-a5c0-bf9d00809fda";"2021-06-01T14:55:52";"";"";"submitted_via_web";"";"";"7"
"2021-05-24";"";"Bangwe";"10:27:00.000+02:00";"7";"Thursday";"Surgarcane remains";"Monday";"2021-05-24T13:28:00.000+02:00";"20";"0-100";"no";"15500";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"180450620";"5d6b2fde-aaab-42d5-b0c2-dbd3c5e1ff23";"2021-05-27T06:30:33";"";"";"submitted_via_web";"";"";"8"
"2021-05-24";"";"Bangwe";"15:08:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-05-24T13:29:00.000+02:00";"50";"0-100";"no";"15500";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"180450623";"7b99bd81-c7ed-4056-8d34-b829de43cc9c";"2021-05-27T06:30:33";"";"";"submitted_via_web";"";"";"9"
"2021-05-24";"";"Chigumula";"11:26:00.000+02:00";"7";"Monday";"Surgarcane remains";"Monday";"2021-05-24T13:34:00.000+02:00";"50";"0-100";"no";"0";"";"";"vGvXQqtZY3WMqaDkt6NhwY";"vQ24VXANDQxceXmEwDPB8W";"180450625";"dafcade1-ef4c-4c8b-b5bb-403a0f895cf4";"2021-05-27T06:30:34";"";"";"submitted_via_web";"";"";"10"
